,p158,p159,p160,p23,p24
r0,0.789925998,0.732552788,0.762505142,0.853555772,0.857527659
r1,0.648140861,0.698655303,0.64056435,0.632094149,0.714847797
r2,31.02106271,22.64747818,18.70108762,42.44115764,27.67035661
r3,47.8616063,32.41581091,29.19470562,67.143728,38.70803926
r4,44.92541804,35.3234565,29.8966444,99.95804059,37.97755803
r5,51.97583786,30.31117099,32.22058426,103.2516576,45.16349825
r6,55.53167769,36.68549026,28.79925853,72.97477224,46.31962664
r7,,37.97448233,34.68661312,105.020034,46.43490112
r8,39817.71518,11796.71939,8267.017508,106635.405,25042.51024
r9,37.80712714,23.74629265,22.26111316,57.31091659,33.19321429
r10,0.884917538,0.872440312,0.86129336,0.812199102,0.883799695
r11,6372.339111,2872.472632,2295.614348,13389.23923,4683.625736
r12,0.160037789,0.243497581,0.277683499,0.125560917,0.187027007
r13,40335.67509,12420.17295,8658.907728,108618.6813,25579.92246
r14,24966.97168,33187.04375,12942.97852,16238.87656,11116.1041
r15,77629.12891,94635.66719,35240.15273,44186.57344,27551.75
r16,2.67569E+12,5.17634E+11,97453939786,2.27068E+12,1.67613E+11
r17,9.529146388,6.957188624,7.25903545,10.00230286,8.276260061
r18,32417.06982,35326.46484,13402.99048,16924.15039,8337.798096
r19,2.058137003,2.357000109,2.408871774,2.467163778,4.707863515
r20,97317.00781,114616.6719,42610.375,63867.42188,44332.00781
r21,16887.96231,18851.43999,7184.837803,8965.47863,5264.798293
r22,49971.95438,59658.45131,22082.39793,30465.74481,17525.34116
r23,48452.90234,56831.58594,19485.63184,30637.20898,15392.55908
r24,20491.75391,23865.36719,11707.54883,1067.470093,9523.212891
r25,76825.25391,90751.30469,30902.82617,62799.95178,34808.79492
r26,13304.64893,13979.91682,5450.612763,6823.15442,3484.419371
r27,,63842.42293,23666.01178,32295.98573,18804.61375
r28,0.324910812,0.541687351,0.739191245,0.12154808,1.39613234
r29,1.16299E+14,5.06228E+13,4.84968E+12,1.13293E+14,9.04541E+12
r30,0.001470069,0.008122016,0.006936187,0.001113449,0.003747619
r31,386094886.3,516724152.3,72447815.52,114869087.5,46475915.36
r32,2167539.943,2984277.363,307488.0594,1661469.12,191820.2092
r33,7.82318E+12,1.06656E+13,2.59581E+11,6.32557E+11,2.6942E+11
r34,618512731.8,672168126.8,84900276.12,47269642.36,154722427.7
r35,1860132.378,2145331.474,342310.6775,504489.483,262746.0121
r36,449453.9096,1369781.609,157095.3567,148368.3268,60240.46643
r37,,0.229574505,0.3793851,0.545960903,0.630782806
r38,528.5394376,957.1221271,321.0550365,298.0907232,188.7831311
r39,8.973366271,6.3207347,6.713065387,9.141564637,7.754368856
