ID,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
AMC-002,0.78,31.32,2.31,-3.09,-1.41,2.77,5.06,-5.3,2.71,-3.34,1.13,-3.45,-1.16,-1.2,1.38,-0.78,-0.09,-0.14
AMC-003,5.04,-5.55,-0.42,-0.81,4.96,-1.57,-2.74,-5.04,5.36,-8.67,1.41,0.59,-0.01,-0.84,2.32,1.19,0.08,-0.27
AMC-004,-0.77,-2.87,0.51,-0.34,1.59,-2.88,-3.87,1.36,-0.21,-2.4,0.45,5.26,1.06,0.13,-0.64,-0.69,-4.19,-0.72
AMC-007,9.97,-5.4,1.62,-3.35,5.91,-3.24,-2.7,0.98,1.2,-4.85,8.73,-3.02,-1.72,0.07,0.07,1.73,-0.98,-0.8
AMC-010,7.83,-5.23,1.76,-0.95,5.54,-5.97,-4.4,8.66,-1.71,-1.72,7.47,2.72,-0.17,2.37,0.1,0.44,-2.05,-2.83
AMC-014,-2.02,-5.17,-0.01,4.96,0.98,-2.54,-3.56,1.56,0.82,-4.11,-5.21,4.08,0.51,-2.15,0.92,-0.31,-1.04,0.28
AMC-015,-1.91,-4.85,-0.58,5.81,0.82,-1.65,-3.07,-0.54,4.15,-7.29,-4.67,4.3,0.13,-1.42,1.03,-0.42,-1.06,-0.24
AMC-016,5.33,-6.88,-3.1,3.81,-1.56,3.78,-0.46,-7.97,6.14,-8.45,0.17,7.83,5.59,0.56,-1.24,-0.68,-0.63,-0.65
AMC-017,1.9,-0.47,-0.69,-2.61,-1.05,0.54,-0.06,-2.33,-0.12,-0.27,2.01,-3.57,-1.26,0.72,-0.94,-2.3,0.35,-0.2
AMC-018,0.7,-4.55,-0.97,4.87,2.04,-4.22,-4.59,8.59,-0.85,-1.39,0.29,5.02,-0.72,3.1,-0.34,-0.88,0.19,0.47
AMC-021,-6.34,-0.39,-0.51,2.55,-0.55,-0.37,-1.37,1.85,0.32,-1.47,-3.05,-0.34,-1.37,-1.25,-1.16,1.69,-0.45,-0.29
AMC-024,6.25,-4.59,-1.84,-6.67,7.77,-2.92,-3.2,-3.03,-1.62,0.71,7.75,-6.89,-1.2,0.31,0.46,-0.07,1.49,-0.62
AMC-025,1.47,1.31,-0.06,-2.18,8.15,-1.54,-1.44,-4.42,2.81,-5.74,7.06,-8.93,-3.5,1.93,-2.27,1.8,0.27,-0.36
AMC-027,1.86,-1.84,1.74,-3.97,4.41,-0.69,-0.7,-5.37,6.55,-9.15,4.06,-2.51,-1.71,2.4,-3.49,4.44,0.08,-0.17
